Unnamed: 0.1,Unnamed: 0,Latitude,Longitude,Sample Date,atran,green,drad,blue,emis,atmos_opacity,emsd,nir08,swir16,swir22,lwir,red,urad,trad,cdist
22,22.0,-28.116667,26.725278,21-09-2011,9413.5,8424.5,220.0,8359.0,9708.0,8.0,39.0,8738.0,8471.0,8074.0,42137.0,8506.0,367.0,8111.0,42.0
23,23.0,-28.116667,26.725278,18-10-2011,-9999.0,,-9999.0,,-9999.0,-9999.0,-9999.0,,,,,,-9999.0,-9999.0,-9999.0
24,24.0,-28.116667,26.725278,14-12-2011,7424.5,9342.0,979.0,8505.5,9708.0,9.0,39.0,15327.0,12574.5,10043.0,45325.0,9167.0,1975.5,9153.0,562.0
25,25.0,-28.116667,26.725278,18-01-2012,7424.5,9342.0,979.0,8505.5,9708.0,9.0,39.0,15327.0,12574.5,10043.0,45325.0,9167.0,1975.5,9153.0,562.0
26,26.0,-28.116667,26.725278,15-02-2012,8961.0,9326.0,413.0,8465.5,9708.0,9.0,39.0,14965.0,13067.0,10678.5,44944.0,9298.5,755.5,9245.5,824.5
27,27.0,-28.116667,26.725278,14-03-2012,8011.5,9401.0,764.5,8652.5,9809.5,9.0,39.0,14606.5,13992.5,11138.0,45397.0,9727.0,1521.0,9376.0,669.0
28,28.0,-26.03611,30.99778,11-12-2013,5962.0,9627.5,1431.0,8757.5,9692.0,13.0,82.0,14688.0,11432.5,9589.0,44738.5,9744.5,3160.5,8762.5,1444.5
29,29.0,-27.5275,30.858056,11-12-2013,6969.5,9745.5,1134.0,8419.0,9700.0,,63.0,18636.0,14370.0,11374.0,,9269.5,2363.5,9895.0,1916.5
30,30.0,-28.75,30.442778,11-12-2013,7110.0,11426.5,1086.0,10436.5,9684.0,9.0,88.0,14568.0,15386.0,13458.0,48538.0,11777.0,2249.0,10213.5,3006.0
31,31.0,-28.116667,26.725278,09-05-2012,9424.5,9369.0,226.0,8631.0,9790.0,9.0,39.0,13306.0,14449.0,11665.5,41817.5,9914.0,382.5,8074.0,678.0
32,32.0,-28.116667,26.725278,29-05-2012,9435.0,9772.0,209.0,8992.0,9775.0,9.0,39.0,13172.0,15658.0,12463.0,41576.0,10509.0,354.0,7943.5,649.0
33,33.0,-28.116667,26.725278,06-06-2012,9434.5,9687.0,209.0,8939.5,9708.0,9.0,39.0,13199.0,15549.5,12569.5,41696.5,10499.0,354.0,7943.5,649.0
34,34.0,-28.116667,26.725278,14-06-2012,9434.5,9687.0,209.0,8939.5,9708.0,9.0,39.0,13199.0,15549.5,12569.5,41696.5,10499.0,354.0,7943.5,649.0
35,35.0,-28.116667,26.725278,21-06-2012,9434.5,9687.0,209.0,8939.5,9708.0,9.0,39.0,13199.0,15549.5,12569.5,41696.5,10499.0,354.0,7943.5,649.0
36,36.0,-28.116667,26.725278,04-07-2012,9434.5,9687.0,209.0,8939.5,9708.0,9.0,39.0,13199.0,15549.5,12569.5,41696.5,10499.0,354.0,7943.5,649.0
37,37.0,-28.116667,26.725278,01-08-2012,9434.5,9687.0,209.0,8939.5,9708.0,9.0,39.0,13199.0,15549.5,12569.5,41696.5,10499.0,354.0,7943.5,649.0
38,38.0,-28.116667,26.725278,29-08-2012,8357.0,10734.5,627.0,9896.5,9767.0,32.0,39.0,14038.0,15809.5,13234.5,46010.0,11582.0,1212.0,9599.0,742.5
39,39.0,-28.116667,26.725278,17-09-2012,8357.0,10734.5,627.0,9896.5,9767.0,32.0,39.0,14038.0,15809.5,13234.5,46010.0,11582.0,1212.0,9599.0,742.5
40,40.0,-28.116667,26.725278,24-10-2012,8357.0,10734.5,627.0,9896.5,9767.0,32.0,39.0,14038.0,15809.5,13234.5,46010.0,11582.0,1212.0,9599.0,742.5
41,41.0,-28.116667,26.725278,15-11-2012,-9999.0,,-9999.0,,-9999.0,-9999.0,-9999.0,,,,,,-9999.0,-9999.0,-9999.0
42,42.0,-28.404444,30.013056,11-12-2013,-9999.0,,-9999.0,,-9999.0,-9999.0,-9999.0,,,,,,-9999.0,-9999.0,-9999.0
43,43.0,-28.116667,26.725278,21-11-2012,-9999.0,,-9999.0,,-9999.0,-9999.0,-9999.0,,,,,,-9999.0,-9999.0,-9999.0
44,44.0,-28.116667,26.725278,31-01-2013,7473.5,10036.5,950.5,9167.0,9708.0,10.0,39.0,15841.0,14846.5,12027.0,47055.0,10540.0,1909.5,9748.0,757.5
45,45.0,-28.116667,26.725278,08-02-2013,6693.5,10166.0,1162.0,9236.5,9808.5,82.5,39.0,15704.0,14420.0,11808.0,47289.0,10324.5,2426.5,9599.0,730.5
46,46.0,-28.116667,26.725278,20-02-2013,6695.0,10193.5,1162.0,9276.5,9708.0,54.0,39.0,15677.0,14445.5,11710.0,47505.0,10341.5,2425.5,9599.0,737.5
47,47.0,-28.116667,26.725278,14-03-2013,7888.5,9853.0,781.0,8861.0,9811.5,9.0,39.0,15290.5,14639.0,11715.0,44494.0,10174.0,1556.5,8948.5,707.5
48,48.0,-28.116667,26.725278,21-03-2013,7888.5,9791.0,781.0,8798.0,9708.0,9.0,39.0,15509.0,14847.5,11859.0,44717.0,10067.0,1556.5,8948.5,723.5
49,49.0,-29.161667,30.629722,11-12-2013,7350.5,9672.0,970.0,8744.5,9795.5,47.0,71.0,14963.5,15171.0,12574.5,47232.5,9695.5,1997.0,9841.0,1824.5
50,50.0,-26.648056,27.089444,11-12-2013,-1111.5,4493.0,-4580.5,4133.0,-85.5,-4992.5,-4962.5,8760.0,6309.5,4878.5,22579.0,4319.5,-4167.5,-386.0,-4872.0
51,51.0,-28.116667,26.725278,24-04-2013,9064.0,9361.0,368.0,8310.0,9822.0,,39.0,15025.0,13423.5,11010.5,,9322.0,672.0,8779.5,681.0
52,52.0,-26.970278,27.211111,11-12-2013,7839.0,13177.5,818.0,12192.0,9734.5,30.0,128.0,17041.5,17793.0,15619.5,39510.0,13589.0,1620.0,7255.0,
53,53.0,-26.880278,26.965,11-12-2013,7900.0,10234.0,799.0,9182.0,9771.0,25.0,118.0,15109.0,17960.0,14973.0,48154.5,10569.5,1575.5,10287.5,354.0
54,54.0,-27.38972222,26.46388889,11-12-2013,8261.0,9394.5,674.0,8714.0,9632.0,8.0,98.0,10490.5,8810.5,8355.0,45230.5,9239.5,1298.0,9171.5,1284.5
55,55.0,-26.98472222,26.63227778,11-12-2013,8022.0,10135.0,758.0,9164.0,9703.0,8.0,77.0,14875.0,15484.5,12732.5,46680.0,10307.0,1482.0,9748.0,263.5
56,56.0,-28.116667,26.725278,16-07-2013,9176.0,10228.5,295.0,8830.0,9722.0,,39.0,14685.0,16304.5,13420.0,,11281.0,528.5,8063.5,684.0
57,57.0,-28.116667,26.725278,14-08-2013,9083.0,10214.0,314.0,8927.5,9777.0,,39.0,14861.5,16963.5,13917.0,,11378.0,567.5,8346.5,647.0
58,58.0,-28.141944,26.417778,11-12-2013,8278.0,9944.5,662.0,8898.0,9707.0,18.0,48.5,17758.0,15390.0,12163.5,46724.0,9826.0,1273.0,9785.0,2594.0
59,59.0,-28.116667,26.725278,26-09-2013,9155.0,11017.0,297.0,9815.0,9767.0,60.0,39.0,15306.0,17148.0,14131.5,46398.5,12113.5,504.0,9860.0,715.5
60,60.0,-28.116667,26.725278,22-10-2013,8442.5,10731.5,583.0,9626.5,9778.5,8.0,39.0,15405.0,17507.0,14412.0,46292.5,11742.0,1111.0,9711.0,153.5
61,61.0,-28.1175,26.719444,11-12-2013,8272.0,10222.0,664.0,9129.0,9795.5,8.0,54.0,15049.0,14194.5,11914.0,47123.5,10303.5,1276.0,10046.0,729.0
62,62.0,-27.671111,27.236944,11-12-2013,-9999.0,,-9999.0,,-9999.0,-9999.0,-9999.0,,,,,,-9999.0,-9999.0,-9999.0
63,63.0,-28.768056,20.720556,11-12-2013,8516.0,10384.5,604.0,8729.0,9603.0,,73.0,12827.5,12738.0,10860.0,,10022.0,1154.0,10116.0,8941.5
64,64.0,-27.356667,27.286389,11-12-2013,8148.0,9169.5,706.0,8520.0,9834.5,9.0,95.0,15137.0,12739.0,10159.5,45305.5,9033.0,1369.0,9394.5,927.5
65,65.0,-24.679167,30.8025,12-12-2013,8464.0,9964.0,617.0,8851.0,9722.0,,,14839.5,16399.5,14340.0,,10654.0,1187.0,11026.5,1576.0
66,66.0,-27.937778,31.209444,12-12-2013,6619.0,9323.5,1263.5,8084.0,-9999.0,,-9999.0,17493.5,13327.0,10450.0,,8958.0,2681.5,9683.5,4371.0
67,67.0,-29.744167,29.905833,12-12-2013,7537.0,10128.5,924.0,9110.5,9730.0,92.0,69.0,14287.5,15136.5,13062.5,46241.0,10520.5,1875.5,9506.5,1636.0
68,68.0,-26.98472222,26.63227778,12-12-2013,8022.0,10135.0,758.0,9164.0,9703.0,8.0,77.0,14875.0,15484.5,12732.5,46680.0,10307.0,1482.0,9748.0,263.5
69,69.0,-27.398611,26.614722,12-12-2013,8248.0,9793.0,678.0,8880.0,9800.5,9.0,62.0,16091.0,13674.5,11222.0,46432.5,9884.0,1307.0,9785.0,173.0
70,70.0,-34.031944,22.053333,13-12-2013,7331.0,8874.0,975.0,8103.0,9652.0,9.0,81.0,13296.0,12220.0,10006.0,44697.0,8766.0,2016.0,8855.0,496.0
71,71.0,-28.735556,29.820556,17-12-2013,-9999.0,,-9999.0,,-9999.0,-9999.0,-9999.0,,,,,,-9999.0,-9999.0,-9999.0
72,72.0,-27.935,26.126667,17-12-2013,8333.0,10761.5,645.0,9360.5,9623.0,8.0,77.5,16612.0,17219.0,14504.0,48310.0,11276.0,1236.0,10399.5,1198.0
73,73.0,-28.141944,26.417778,17-12-2013,8278.0,9950.0,662.0,8880.5,9712.0,11.0,48.5,17682.5,15421.0,12157.5,46679.5,9830.5,1272.0,9785.0,2816.5
74,74.0,-28.1175,26.719444,17-12-2013,8272.0,10189.5,664.0,9097.0,9699.0,9.0,54.0,15046.0,14118.5,11835.0,47322.0,10302.0,1276.0,10046.0,713.5
75,75.0,-28.116667,26.725278,17-12-2013,8274.5,9882.5,663.0,8933.0,9708.0,9.0,39.0,15774.0,14081.0,11448.0,47026.0,10105.0,1274.5,9934.0,735.5
76,76.0,-28.116667,26.725278,02-04-2014,8831.5,9504.5,442.0,8512.0,9813.5,9.0,39.0,15374.0,13376.5,10690.5,43764.0,9536.0,820.5,8799.5,684.0
77,77.0,-29.160278,26.573333,17-12-2013,8056.0,10233.0,728.0,9230.5,9677.0,8.0,88.0,15786.0,14730.5,12228.0,48115.5,10479.0,1412.0,10269.0,1304.5
78,78.0,-29.042222,24.6,17-12-2013,8471.0,8981.5,586.0,7888.0,9796.0,,105.0,10475.5,8881.5,8119.5,,8258.5,1107.0,9805.5,1154.0
79,79.0,-29.028629,24.638389,17-12-2013,8473.0,9767.0,585.0,8668.0,9659.0,,61.0,15912.0,13952.0,11980.0,,10171.0,1106.0,10531.0,1037.5
80,80.0,-29.033333,23.983333,17-12-2013,8418.0,10650.5,610.0,9029.5,9692.0,,73.0,16291.5,16400.5,14244.0,,11403.0,1159.0,10789.0,1117.0
81,81.0,-33.501667,21.624167,17-12-2013,6738.0,9389.0,1270.0,8286.5,9671.0,,65.0,15719.5,11759.0,9387.0,,9216.5,2685.0,10270.5,2506.5
82,82.0,-27.01011111,26.69808333,18-12-2013,8207.0,9547.0,692.0,8827.0,9723.0,8.0,67.0,10729.0,8845.5,8508.0,44261.0,9491.0,1337.0,8855.0,119.0
83,83.0,-22.225556,29.990556,18-12-2013,5800.0,9062.5,1617.0,7641.5,9904.0,,,8307.0,8051.5,7877.5,,8682.5,3494.0,10140.5,2624.0
84,84.0,-25.127778,27.628889,18-12-2013,6339.5,9761.0,1351.0,8765.5,9781.0,46.5,42.0,14993.0,16529.0,14079.0,47928.5,10190.5,2898.0,9878.5,501.0
85,85.0,-28.116667,26.725278,20-05-2014,8113.5,9984.5,671.5,9136.0,9778.5,9.0,39.0,13438.0,14553.5,11791.0,41861.0,10628.5,1326.5,7962.0,666.5
86,86.0,-25.20639,27.558,18-12-2013,6337.0,9759.5,1350.5,8896.5,9619.0,22.0,54.0,14242.5,10657.0,9219.0,45644.0,9673.5,2898.5,9078.0,9.0
87,87.0,-24.39619444,27.08983333,18-12-2013,6273.5,9899.0,1390.0,9100.0,9557.0,10.0,201.0,12050.5,10255.5,9463.0,47052.0,9943.0,2991.0,9506.5,575.0
88,88.0,-28.116667,26.725278,02-07-2014,8897.0,10120.0,394.5,8810.5,9772.0,,39.0,14016.5,15793.0,12931.5,,11157.0,729.0,8054.5,660.0
89,89.0,-24.69514,27.40906,18-12-2013,6293.0,,1377.0,,-9999.0,-9999.0,-9999.0,,,,,,2960.0,9766.5,-9999.0
90,90.0,-28.116667,26.725278,15-07-2014,8837.5,10131.0,405.0,8849.0,9774.5,,39.0,13976.5,16121.5,13322.5,,11166.5,757.5,7959.0,647.5
91,91.0,-27.602222,29.942778,18-12-2013,7900.5,9699.0,792.5,8681.0,9635.0,9.0,36.0,15514.5,14493.0,11428.5,46050.0,9660.5,1582.5,9450.5,1166.5
92,92.0,-29.380556,30.2775,18-12-2013,6277.0,9357.5,1340.5,8178.0,9721.0,,94.0,17569.5,13300.0,10211.5,,8965.5,2887.5,8589.5,38.5
93,93.0,-28.116667,26.725278,29-07-2014,-9999.0,,-9999.0,,-9999.0,-9999.0,-9999.0,,,,,,-9999.0,-9999.0,-9999.0
94,94.0,-28.116667,26.725278,18-08-2014,9249.5,10460.5,275.0,8968.0,9722.0,,39.0,14438.0,16497.5,13620.0,,11615.0,484.0,8401.5,412.0
95,95.0,-28.116667,26.725278,20-08-2014,9359.0,10376.0,244.0,9049.5,9770.0,,39.0,13778.5,16611.0,13969.0,,11443.5,415.0,9227.0,412.0
96,96.0,-26.648056,27.089444,18-12-2013,-1111.5,4493.0,-4580.5,4133.0,-85.5,-4992.5,-4962.5,8760.0,6309.5,4878.5,22579.0,4319.5,-4167.5,-386.0,-4872.0
97,97.0,-28.116667,26.725278,26-08-2014,9359.0,10376.0,244.0,9049.5,9770.0,,39.0,13778.5,16611.0,13969.0,,11443.5,415.0,9227.0,412.0
98,98.0,-26.970278,27.211111,18-12-2013,7839.0,13177.5,818.0,12192.0,9734.5,30.0,128.0,17041.5,17793.0,15619.5,39510.0,13589.0,1620.0,7255.0,
99,99.0,-28.116667,26.725278,09-09-2014,9359.0,10381.5,244.0,9083.0,9722.0,,39.0,13790.0,16621.0,13956.5,,11464.5,415.0,9226.0,411.0
100,100.0,-26.880278,26.965,18-12-2013,7900.0,10234.0,799.0,9182.0,9771.0,25.0,118.0,15109.0,17960.0,14973.0,48154.5,10569.5,1575.5,10287.5,354.0
101,101.0,-27.671111,27.236944,18-12-2013,8687.0,10084.0,525.0,8538.0,9723.0,,96.5,17392.5,13962.0,11651.5,,9899.5,984.0,10204.5,8313.0
102,102.0,-28.116667,26.725278,15-10-2014,-9999.0,,-9999.0,,-9999.0,-9999.0,-9999.0,,,,,,-9999.0,-9999.0,-9999.0
103,103.0,-24.058889,31.237222,19-12-2013,-9999.0,,-9999.0,,-9999.0,-9999.0,-9999.0,,,,,,-9999.0,-9999.0,-9999.0
104,104.0,-28.116667,26.725278,10-11-2014,8167.0,9954.5,706.0,8700.5,9722.0,,39.0,15097.5,14918.0,12588.0,,10286.5,1375.5,10000.5,209.5
105,105.0,-28.116667,26.725278,24-11-2014,8017.0,,750.0,,-9999.0,-9999.0,-9999.0,,,,,,1484.0,9116.0,-9999.0
106,106.0,-28.116667,26.725278,25-11-2014,8017.0,,750.0,,-9999.0,-9999.0,-9999.0,,,,,,1484.0,9116.0,-9999.0
107,107.0,-22.43772222,31.07805556,22-12-2013,6312.5,10185.5,1432.0,9212.0,9601.0,9.0,16.0,14445.5,14691.0,12476.5,48611.5,10788.0,3072.0,10120.0,6507.0
108,108.0,-28.116667,26.725278,05-01-2015,7230.5,11394.0,1047.0,10179.0,9708.0,14.0,39.0,20197.5,15328.0,11395.0,43597.5,11120.0,2155.5,8576.5,
109,109.0,-25.99136,27.84208,23-12-2013,6553.0,9542.5,1187.0,8795.0,9676.0,233.0,39.0,17376.5,13560.5,10521.5,45313.5,9296.0,2501.0,8818.0,49.0
110,110.0,-26.970278,27.211111,23-12-2013,7135.5,9631.5,1062.0,8679.0,9904.0,,128.0,9390.0,7704.5,7552.5,,9957.5,2154.5,9103.0,2170.5
111,111.0,-26.880278,26.965,23-12-2013,7152.0,10065.5,1058.0,9253.5,9794.5,,118.0,15476.5,16907.5,14033.5,,10147.5,2144.0,10630.0,1328.5
112,112.0,-25.45963889,28.26430556,23-12-2013,6352.0,9833.0,1276.0,8858.0,9636.0,44.0,53.0,15722.0,13032.5,10383.0,46700.0,9361.5,2728.0,9302.0,399.5
113,113.0,-27.01011111,26.69808333,24-12-2013,7126.0,9516.0,1067.0,8468.0,9684.0,,67.0,13056.0,10308.0,8820.0,,9329.0,2164.0,9588.0,614.5
114,114.0,-25.81048333,27.90955222,24-12-2013,6324.0,9738.0,1272.0,8894.0,9608.0,217.0,106.0,16695.0,14064.5,10967.5,45756.0,9483.0,2707.0,8911.0,157.0
115,115.0,-28.116667,26.725278,10-03-2015,7368.5,9340.5,949.5,8117.0,9819.0,,39.0,14947.5,13439.0,10838.0,,9259.5,1904.5,9262.0,702.5
116,116.0,-25.73411,27.21422,24-12-2013,7173.0,10187.0,1032.0,8973.0,9690.5,,38.0,15476.0,16396.5,13199.0,,10608.0,2097.0,9856.0,325.0
117,117.0,-26.648056,27.089444,24-12-2013,7199.0,9544.5,1038.0,8436.5,9838.5,,74.0,17556.5,14522.0,11188.0,,9029.5,2098.0,9843.5,748.0
118,118.0,-26.98472222,26.63227778,24-12-2013,7166.0,10116.5,1054.0,8892.5,9732.0,,77.0,16277.5,15606.5,12875.0,,10057.5,2133.0,10608.5,289.5
119,119.0,-28.116667,26.725278,14-04-2015,8117.5,9406.0,673.5,8558.0,9708.0,9.0,39.0,14590.0,13176.5,10729.5,43866.5,9336.0,1309.5,8613.5,724.5
120,120.0,-28.116667,26.725278,15-04-2015,8117.5,9406.0,673.5,8558.0,9708.0,9.0,39.0,14590.0,13176.5,10729.5,43866.5,9336.0,1309.5,8613.5,724.5
121,121.0,-28.116667,26.725278,09-06-2015,9349.0,9432.0,237.0,8444.5,9777.0,,39.0,12568.5,14915.5,12731.0,,10031.0,412.5,7521.0,439.0
122,122.0,-28.116667,26.725278,24-06-2015,9349.0,9476.0,237.0,8559.5,9722.0,,39.0,12577.5,14922.0,12710.5,,10083.0,412.5,7520.5,724.0
123,123.0,-28.116667,26.725278,22-07-2015,9358.5,9557.5,244.0,8728.5,9768.0,,39.0,12258.0,15026.0,13226.5,,10280.5,420.5,8276.5,651.0
124,124.0,-28.116667,26.725278,12-08-2015,9474.0,10507.0,199.0,9782.0,9756.0,8.0,39.0,13067.0,16238.0,14134.5,41541.5,11350.0,331.5,7925.0,395.5
125,125.0,-28.116667,26.725278,20-08-2015,9474.0,10499.0,199.0,9755.0,9708.0,8.0,39.0,13065.0,16242.0,14053.0,41637.0,11348.0,331.5,7925.0,654.0
126,126.0,-28.116667,26.725278,08-09-2015,8718.5,9737.5,473.0,8639.5,9722.0,,39.0,12806.5,15602.0,13411.0,,10477.0,883.0,9184.0,657.0
127,127.0,-28.116667,26.725278,15-10-2015,-9999.0,,-9999.0,,-9999.0,-9999.0,-9999.0,,,,,,-9999.0,-9999.0,-9999.0
128,128.0,-28.116667,26.725278,03-11-2015,8863.5,11374.5,403.0,9937.5,9708.0,8.0,39.0,14870.0,18209.0,16128.5,47303.0,12803.5,731.0,10120.0,162.0
129,129.0,-28.116667,26.725278,10-11-2015,8377.5,10161.5,650.0,8817.5,9795.0,,39.0,15195.5,15712.5,12895.0,,10834.0,1251.0,11787.5,1551.0
130,130.0,-29.161667,23.696389,25-12-2013,8019.0,11406.0,767.0,9900.0,9876.0,8.0,90.0,8846.0,8176.0,8011.0,44582.0,10804.0,1506.0,9097.0,8106.0
131,131.0,-28.96362,19.15486,28-12-2013,-9999.0,,-9999.0,,-9999.0,-9999.0,-9999.0,,,,,,-9999.0,-9999.0,-9999.0
132,132.0,-28.1175,26.719444,30-12-2013,7618.0,10020.0,886.0,8974.0,9799.0,11.0,54.0,14820.5,13583.5,11094.0,45380.5,9980.5,1786.0,9208.5,682.5
133,133.0,-29.161667,23.696389,01-01-2014,8019.0,11406.0,767.0,9900.0,9876.0,8.0,90.0,8846.0,8176.0,8011.0,44582.0,10804.0,1506.0,9097.0,8106.0
134,134.0,-29.140556,31.391944,01-01-2014,5468.0,10448.0,1620.0,9120.5,9737.0,,75.5,15240.0,9931.0,8622.5,,10821.0,3634.0,9407.0,164.5
135,135.0,-28.747778,31.745833,01-01-2014,5701.0,9488.5,1567.5,8334.5,9718.0,,53.0,20008.5,14246.0,10774.5,,9031.5,3477.0,9699.0,323.5
136,136.0,-25.99136,27.84208,06-01-2014,8106.0,9421.0,760.0,8368.5,9682.0,,39.0,17085.0,13907.0,11011.5,,9154.5,1483.0,9910.0,759.5
137,137.0,-26.45,28.085833,06-01-2014,8220.0,9294.0,713.0,8135.0,9694.5,,89.5,18083.0,13620.0,10625.0,,9015.5,1377.0,10297.5,183.5
138,138.0,-27.935,26.126667,06-01-2014,-9999.0,,-9999.0,,-9999.0,-9999.0,-9999.0,,,,,,-9999.0,-9999.0,-9999.0
139,139.0,-28.141944,26.417778,06-01-2014,7614.0,9740.0,890.0,8687.5,9712.0,11.0,48.5,17730.5,14552.0,11292.0,45520.0,9397.5,1794.0,9190.0,1681.5
140,140.0,-28.1175,26.719444,06-01-2014,7620.0,9979.0,886.0,9020.0,9699.0,12.0,54.0,14866.5,13577.0,11085.0,45510.5,9987.5,1785.0,9208.5,697.0
141,141.0,-28.116667,26.725278,06-01-2014,7623.5,9639.5,884.5,8712.5,9708.0,11.0,39.0,15915.0,13384.0,10849.0,45177.0,9676.0,1781.5,9116.0,720.0
142,142.0,-27.169444,29.233889,07-01-2014,-9999.0,,-9999.0,,-9999.0,-9999.0,-9999.0,,,,,,-9999.0,-9999.0,-9999.0
143,143.0,-26.861111,28.884722,07-01-2014,8378.0,9477.0,623.0,8471.0,9556.5,48.5,,17873.5,11883.5,9669.5,44859.0,9069.0,1204.5,9004.0,635.5
144,144.0,-27.273889,28.49,07-01-2014,7635.5,8957.0,893.5,8069.5,9853.0,,24.5,14143.5,9463.0,8259.0,,9170.5,1798.5,9096.5,153.5
145,145.0,-25.45963889,28.26430556,07-01-2014,7723.0,9571.5,922.0,8425.5,9621.0,,176.0,18919.0,13958.0,10991.0,,9411.5,1855.0,10213.0,2001.5
146,146.0,-29.161667,23.696389,08-01-2014,7986.0,10068.0,787.0,9124.5,9876.0,38.5,90.0,8293.0,7876.0,7747.0,44141.0,9301.0,1550.0,8948.5,791.5
147,147.0,-27.01011111,26.69808333,08-01-2014,7340.0,10236.5,975.0,9418.0,9723.0,19.0,67.0,13838.5,11096.5,9281.0,43969.5,10349.5,2000.0,8632.0,122.0
148,148.0,-25.81048333,27.90955222,08-01-2014,7918.0,9355.5,843.0,8307.0,9610.0,,106.0,16608.0,13836.5,11042.5,,9375.5,1666.0,10164.0,1335.0
149,149.0,-29.140556,31.391944,08-01-2014,5468.0,10448.0,1620.0,9120.5,9737.0,,75.5,15240.0,9931.0,8622.5,,10821.0,3634.0,9407.0,164.5
150,150.0,-28.801278,31.955389,08-01-2014,5157.0,42524.0,1708.0,44116.5,9729.5,,18.0,41871.0,25403.5,17514.5,,42018.0,3895.0,7475.5,1548.5
