Unnamed: 0,Latitude,Longitude,Sample Date,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus,qa,red,blue,drad,emis,emsd,lwir,trad,urad,atran,cdist,green,nir08,lwir.1,swir16,swir22,cloud_qa,qa_pixel,qa_radsat,atmos_opacity,NVDI,SAVI,BSI,NDBI,TCWI
30,-27.356667,27.286389,10-01-2011,64.1,164.0,151.0,260.0,9290.0,8718.0,1187.0,9829.5,95.0,44381.0,8547.0,2526.0,6521.0,930.0,9502.5,16828.5,44381.0,12665.5,9643.0,,5440.0,,106.5,0.28862683538488043,0.43293196523603505,-0.07559681697612732,-0.14114735200379738,-1434.770050000002
31,-27.01011111,26.69808333,11-01-2011,66.1,203.4,131.0,274.0,10728.5,9344.0,1245.0,9804.5,67.0,44339.0,8492.0,2668.0,6332.0,592.0,10433.5,12433.5,44339.0,9579.5,8531.5,1.0,5440.0,,101.0,0.07361195060875572,0.11041554236373448,-0.0349170141735277,-0.12965066097306138,521.4269500000005
32,-25.73411,27.21422,11-01-2011,8.0,34.04,56.0,719.5,17879.5,16362.5,1190.0,9691.5,38.0,43105.5,8104.0,2581.0,6429.0,,17765.0,21914.0,43105.5,22170.5,17965.5,8.0,5896.0,,177.5,0.10138590473318507,0.15207694627330753,0.022642400720062815,0.005818371536481076,-4655.868399999999
33,-26.98472222,26.63227778,11-01-2011,128.0,196.7,158.0,303.5,10262.5,9414.0,1237.0,9693.0,77.0,46784.0,9156.0,2652.0,6366.0,274.5,10207.0,13683.0,46784.0,14011.5,11850.5,,5440.0,,123.0,0.14284521099997913,0.21426334252067153,0.0248464250279707,0.011861560959757352,-3907.35415
34,-27.398611,26.614722,11-01-2011,71.6,190.6,127.0,343.0,10126.0,9253.5,1277.0,9792.0,62.0,44909.5,8630.5,2745.0,6223.0,210.5,10247.0,15515.5,44909.5,12823.0,10403.5,,5440.0,,158.5,0.21018661154768636,0.31527376959675535,-0.03814074353493441,-0.09501208603137075,-1838.6511499999997
35,-27.671111,27.236944,11-01-2011,75.096,275.7,71.0,284.0,11237.5,9693.5,1198.0,9756.5,96.5,46121.0,8990.0,2550.0,6476.0,381.5,10943.0,14887.0,46121.0,13522.0,11403.0,,5440.0,,48.0,0.13969645352064156,0.20954066985645936,0.003627888123226591,-0.048048153754092014,-2437.221200000001
36,-29.160278,26.573333,11-01-2011,120.27,177.3,10.0,-9999.0,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,,1.0,,-9999.0,,,,,
37,-34.250556,20.9925,11-01-2011,26.8,304.5,12.0,220.0,9192.0,8456.0,1205.0,9775.0,22.0,46597.0,9562.0,2576.0,6755.0,1264.5,9019.0,12323.0,46597.0,13161.0,10800.5,8.0,5440.0,,8.0,0.1455263769463165,0.21828449257512028,0.03649262728368729,0.032883377805682,-4017.3016499999985
38,-25.45963889,28.26430556,11-01-2011,132.0,489.0,82.0,236.0,11096.0,9139.0,379.0,9636.0,176.0,42157.0,7980.5,692.0,8932.0,1058.0,9926.0,13959.0,42157.0,15156.5,12552.5,,5440.0,,8.0,0.11426860906006785,0.17139949312526193,0.06392032502203625,0.04112929539248854,-4771.615000000002
39,-25.81048333,27.90955222,12-01-2011,131.0,584.0,10.0,421.0,9553.5,8693.0,1320.0,9611.0,106.0,45209.0,8630.5,2907.5,6041.0,75.5,9753.0,16870.5,45209.0,13408.0,10257.0,,5440.0,,83.0,0.2769073569482289,0.4153531760298208,-0.05362184441009789,-0.11435507042951269,-2096.6672999999982
40,-27.273889,28.49,12-01-2011,49.114,136.6,32.0,294.0,9407.5,8456.5,903.0,9849.0,24.5,43282.0,8372.0,1826.5,7416.5,187.0,9060.0,12333.0,43282.0,9264.5,8181.0,1.0,5440.0,,10.0,0.1345645224350866,0.20184214157582447,-0.05365989635467481,-0.14207662923949532,32.38794999999982
41,-27.4275,28.525833,12-01-2011,62.326,163.9,45.0,-9999.0,11296.0,9231.0,879.5,-9999.0,-9999.0,,8855.0,1770.5,7491.5,1640.0,10794.0,16767.0,,18026.5,15340.5,,5440.0,,9.0,0.1949542101699747,0.29242610508311506,0.060095263057998394,0.036199290097288284,-6877.7400000000025
42,-28.883333,27.89,12-01-2011,117.44,271.7,10.0,259.0,9399.5,8398.5,819.0,9605.0,,44203.0,8558.0,1630.0,7663.0,224.5,9248.0,14007.5,44203.0,12553.5,9979.0,,5440.0,,9.0,0.19686418592728672,0.29528997116308875,-0.010212132825356749,-0.054741914837543766,-2531.8972000000012
43,-27.00222,28.76528,13-01-2011,63.848,190.9,62.0,-9999.0,9947.0,8743.0,944.0,-9999.0,-9999.0,,8762.5,1923.5,7294.0,1386.0,9691.0,13724.0,,13005.5,10754.5,,5440.0,,10.0,0.1595623336572177,0.2393384449654648,0.01068924140512335,-0.026880413026805588,-2984.5224000000007
44,-27.02314,28.59389,13-01-2011,62.806,192.7,35.0,290.5,10129.0,8893.0,933.0,9732.0,,44360.0,8632.0,1897.0,7326.0,193.0,9969.5,11490.5,44360.0,10372.5,9135.0,8.0,5440.0,,9.0,0.06297555447628299,0.09446114708603146,0.0028861440626146507,-0.05113662351918767,-995.8760500000008
45,-30.534167,24.961944,13-01-2011,100.962,142.6,80.0,412.5,10773.5,9795.0,1209.0,9762.0,70.0,45025.0,8603.0,2542.0,6390.0,66.0,10835.0,15132.5,45025.0,13586.0,11169.0,,5440.0,,10.0,0.16826217864587353,0.25238839673441027,-0.011524337046279953,-0.053850305552170206,-2450.750499999999
46,-28.460833,21.248889,13-01-2011,102.898,353.0,51.0,358.5,13063.0,10832.0,1245.0,9733.0,66.0,42430.5,8278.5,2611.0,6753.0,129.5,12046.5,14599.0,42430.5,12067.0,11038.5,8.0,5440.0,,150.0,0.05552743836309739,0.08328965205603253,-0.0059532050394572895,-0.09495237380934524,-344.58420000000206
47,-29.658056,25.973333,14-01-2011,86.742,107.0,85.0,181.0,11157.5,9396.0,808.0,9687.0,69.0,45604.0,8990.0,1613.5,7641.0,2742.5,10765.0,14001.0,45604.0,12520.0,10583.0,,5440.0,,9.0,0.11302343144464097,0.16953177789260304,0.005958640028040659,-0.05584253987406206,-1758.4556500000008
48,-28.760833,17.730278,16-01-2011,95.398,297.2,64.0,172.0,12802.0,9557.0,890.0,9880.0,,44344.0,8935.0,1835.0,7669.0,2447.5,11426.0,11190.0,44344.0,7687.5,7645.0,32.0,5504.0,,8.0,-0.06718906302100701,-0.1007814942169428,-0.006244467886459811,-0.1855383392928089,2757.192849999999
49,-25.513889,31.224444,17-01-2011,63.165,155.5,11.0,303.0,9137.5,8486.0,1779.5,9799.0,54.0,44623.0,8744.0,4072.0,4951.5,1415.0,9116.5,14776.0,44623.0,12424.0,9895.0,,5440.0,,246.0,0.2357873167875886,0.3536735803295141,-0.037937688935491425,-0.08647058823529412,-2238.3467999999984
50,-26.861111,28.884722,17-01-2011,101.685,315.4,114.0,213.0,9241.5,8691.0,747.0,9570.5,,45396.5,9097.0,1477.5,7957.5,476.5,9550.0,17658.5,45396.5,13746.5,10574.0,,5440.0,,46.0,0.3128996282527881,0.46934071857400417,-0.06813275905751204,-0.12456615188664226,-2356.4101500000006
51,-31.554722,29.245556,17-01-2011,58.2,197.2,12.0,284.0,8850.0,8558.0,1431.0,9825.0,93.0,46239.5,9156.0,3247.0,5861.5,1227.5,9449.0,19619.0,46239.5,13890.0,10042.0,,5440.0,,124.0,0.3782711019003126,0.5673966876833102,-0.10678162499754502,-0.17096899340475694,-1716.6110000000008
52,-28.058889,30.373611,17-01-2011,58.0,220.0,100.0,250.5,9431.0,8452.5,939.0,9657.0,96.0,44904.0,8911.0,1921.0,7403.0,267.5,9326.0,14514.0,44904.0,12189.5,9706.0,,5440.0,,9.0,0.21227813739820423,0.31841055730721846,-0.03018817144010586,-0.0870485142397064,-1941.9229000000005
53,-25.127778,27.628889,18-01-2011,131.0,415.0,163.0,-4740.0,5122.0,4984.0,-4376.0,-117.0,-4978.5,22583.0,-497.5,-3682.5,-1702.5,-4990.5,5189.5,7814.0,22583.0,6664.0,5222.0,,2720.5,,-4690.0,0.20810142238713666,0.31214006879758827,-0.04116498535632932,-0.0794308606161072,-1002.7254499999995
54,-25.20639,27.558,18-01-2011,102.0,516.0,90.0,633.5,9985.0,10039.0,1244.5,9619.0,54.0,44583.0,8744.0,2629.0,6600.5,1.5,10466.5,14137.5,44583.0,10315.5,8536.0,,5568.0,,690.5,0.17214219090061147,0.2582079343365253,-0.08714616543381973,-0.15629984051036683,443.5513499999993
55,-24.69514,27.40906,18-01-2011,124.0,509.0,158.0,650.5,10524.0,9921.0,1284.0,9529.0,80.0,45279.0,8948.5,2725.0,6481.0,3.0,10647.0,15543.0,45279.0,11919.5,9642.5,,5568.0,,622.5,0.1925422948555645,0.2888079025606598,-0.06304858320722224,-0.1319435593991807,-528.8783999999996
56,-25.681111,31.783333,18-01-2011,53.322,247.7,10.0,379.5,11154.0,9686.5,1944.0,9728.5,,45287.0,8818.0,4546.0,4401.0,176.0,10809.0,13298.5,45287.0,10191.0,9261.0,,5440.0,,197.0,0.08770064410591964,0.1315482762851184,-0.03699526280171442,-0.1322931522595202,313.8784000000005
57,-27.802778,28.768333,18-01-2011,41.891,116.9,23.0,-9999.0,9811.5,8857.5,943.0,-9999.0,-9999.0,,8836.5,1929.5,7316.5,985.5,9803.5,12128.5,,9325.0,8486.0,,5440.0,,22.0,0.10560619872379216,0.15840568811102754,-0.046096329989407436,-0.13067797795231548,120.52429999999868
58,-27.398611,26.614722,18-01-2011,133.319,323.7,139.0,343.0,10126.0,9253.5,1277.0,9792.0,62.0,44909.5,8630.5,2745.0,6223.0,210.5,10247.0,15515.5,44909.5,12823.0,10403.5,,5440.0,,158.5,0.21018661154768636,0.31527376959675535,-0.03814074353493441,-0.09501208603137075,-1838.6511499999997
59,-31.104278,29.399722,18-01-2011,52.984,129.0,10.0,-9999.0,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,,1.0,,-9999.0,,,,,
60,-31.396,29.2651,18-01-2011,35.741,89.2,10.0,308.5,13003.0,9782.5,1519.0,9856.0,102.5,45330.0,8935.0,3465.0,5644.0,814.5,11835.5,12488.0,45330.0,8894.0,8335.0,32.0,5440.0,,115.0,-0.02020320897571692,-0.030304219053409957,-0.008456444218033623,-0.16808530539706296,2207.0401000000015
61,-33.38056,19.30167,18-01-2011,32.968,174.3,41.0,231.0,11320.5,9572.0,942.0,9595.0,27.0,47735.5,10070.0,1957.0,7648.0,812.0,10665.5,15820.0,47735.5,16377.5,13975.0,,5440.0,,9.0,0.16578544978906062,0.2486735934563944,0.04343567526841213,0.017315008929264693,-5370.04275
62,-33.31388889,19.07472222,18-01-2011,30.257,208.2,23.0,218.0,9965.0,8765.0,1098.5,9732.0,55.0,46348.5,9654.5,2322.5,7299.5,1541.5,9546.5,13162.5,46348.5,12786.0,10889.0,,5440.0,,9.0,0.1382553237487839,0.20737850224835697,0.018431684143379926,-0.014509509220186139,-3100.2020999999995
63,-27.495556,26.074722,18-01-2011,176.0,458.0,91.0,292.0,11540.5,9490.5,1357.0,9696.5,81.0,45910.5,8713.0,2958.0,5873.0,738.5,11044.5,17937.5,45910.5,18143.5,14152.5,,5440.0,,199.0,0.21700929506750796,0.32550842139186187,0.03950133071858804,0.0057093761259388595,-5851.706900000002
64,-24.39619444,27.08983333,19-01-2011,120.0,508.0,142.0,-9999.0,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,,1.0,,-9999.0,,,,,
65,-26.970278,27.211111,19-01-2011,63.9,202.4,101.0,288.0,11496.0,9671.5,1194.5,9856.0,128.0,43899.0,8437.0,2549.5,6509.5,390.5,11040.0,10218.0,43899.0,7946.5,7735.0,32.0,5504.0,,101.0,-0.058856037579441835,-0.08828202353266251,-0.011364792026848368,-0.12505161166010625,1713.0545000000006
66,-26.880278,26.965,19-01-2011,235.0,593.0,176.0,265.0,9354.5,8695.0,1207.0,9767.5,118.0,45590.5,8880.0,2579.0,6475.0,825.0,9582.5,14265.0,45590.5,14182.0,11071.5,,5440.0,,212.5,0.20790025191049769,0.31184377646062655,0.0123987827040745,-0.0029177066122965515,-4005.216650000001
67,-27.273889,28.49,19-01-2011,63.114,149.5,11.0,294.0,9407.5,8456.5,903.0,9849.0,24.5,43282.0,8372.0,1826.5,7416.5,187.0,9060.0,12333.0,43282.0,9264.5,8181.0,1.0,5440.0,,10.0,0.1345645224350866,0.20184214157582447,-0.05365989635467481,-0.14207662923949532,32.38794999999982
68,-27.3,28.586944,19-01-2011,59.091,150.3,16.0,-9999.0,9929.5,8561.0,889.0,-9999.0,-9999.0,,8818.0,1793.5,7459.5,816.5,9636.0,14954.0,,14753.0,11537.5,,5440.0,,10.0,0.20192095163461732,0.3028753415849542,0.0242232480937808,-0.0067660820681994145,-4210.223799999999
69,-27.044444,27.005,19-01-2011,83.5,225.2,102.0,258.0,9503.5,8882.5,1206.0,9803.5,93.0,44809.5,8658.0,2570.0,6476.0,1193.0,9908.0,17418.5,44809.5,13987.0,10115.0,,5440.0,,126.0,0.2939974741846817,0.4409880211718823,-0.056445377223019996,-0.10926430083902501,-2214.500249999999
70,-30.568333,29.422778,19-01-2011,40.9,109.3,12.0,302.0,8964.5,8429.5,791.5,9753.0,45.0,45182.5,9245.5,1575.5,7959.5,147.5,9196.5,16880.0,45182.5,12987.5,10366.5,,5440.0,,59.0,0.306274062179574,0.4594022054556007,-0.07104091067782445,-0.13032560475433164,-2187.062850000001
71,-30.570833,29.150556,19-01-2011,40.72,90.6,10.0,-9999.0,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,,1.0,,-9999.0,,,,,
72,-34.031944,22.053333,19-01-2011,17.64,266.5,10.0,292.0,7826.0,7784.0,567.0,9717.0,81.0,40384.0,7516.0,1111.0,8524.0,188.0,7859.0,9058.0,40384.0,8310.0,7822.0,,5440.0,,9.0,0.07296849087893864,0.10944949509905534,-0.021408211534962703,-0.043067710732381394,-1098.1973000000003
73,-33.13083,18.86278,19-01-2011,19.323,117.3,35.0,201.5,12122.5,9873.5,1125.0,9745.5,85.0,48196.0,10319.0,2386.0,7245.0,2895.0,11456.5,15187.0,48196.0,14527.0,12799.0,,5440.0,,8.0,0.11221369852981564,0.16831746612962284,0.03072906594469155,-0.02221175203607727,-3267.649050000001
74,-33.7075,18.97444444,19-01-2011,7.891,78.6,27.0,351.0,10330.5,8918.0,1057.0,9641.0,95.0,47751.0,10042.0,2247.0,7341.0,113.5,9913.0,14270.0,47751.0,13652.0,11469.5,,5440.0,,9.0,0.16013902156460236,0.24020365025811957,0.016843154089950286,-0.022133085022562855,-3388.436600000001
75,-25.57877778,29.12747222,19-01-2011,58.232,231.7,10.0,149.0,11586.5,9017.0,443.0,9384.0,,42298.0,7888.0,828.0,8712.5,3142.0,10076.0,13560.0,42298.0,16388.0,13014.0,,5440.0,,9.0,0.07848010657546776,0.11771781922296895,0.1067723015142973,0.09443034593295045,-5822.218750000001
76,-26.006389,29.253889,20-01-2011,77.092,367.0,14.0,-9999.0,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,,1.0,,-9999.0,,,,,
77,-27.02314,28.59389,20-01-2011,94.557,254.9,15.0,290.5,10129.0,8893.0,933.0,9732.0,,44360.0,8632.0,1897.0,7326.0,193.0,9969.5,11490.5,44360.0,10372.5,9135.0,8.0,5440.0,,9.0,0.06297555447628299,0.09446114708603146,0.0028861440626146507,-0.05113662351918767,-995.8760500000008
78,-30.679722,26.7125,20-01-2011,73.862,158.9,10.0,205.5,11938.0,9235.5,1049.0,9876.0,99.0,43283.0,8372.0,2154.0,7002.0,2042.0,10548.0,13400.0,43283.0,7764.0,7659.0,8.0,5440.0,,9.0,0.05769989738732339,0.08654813820865481,-0.06928845586064364,-0.2663012663012663,2943.85295
79,-28.460833,21.248889,20-01-2011,85.7,259.1,29.0,358.5,13063.0,10832.0,1245.0,9733.0,66.0,42430.5,8278.5,2611.0,6753.0,129.5,12046.5,14599.0,42430.5,12067.0,11038.5,8.0,5440.0,,150.0,0.05552743836309739,0.08328965205603253,-0.0059532050394572895,-0.09495237380934524,-344.58420000000206
80,-30.77586667,29.03221667,20-01-2011,40.9,110.2,12.0,-9999.0,,,-9999.0,-9999.0,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,,1.0,,-9999.0,,,,,
81,-24.925278,29.324444,21-01-2011,85.636,381.0,59.0,237.0,9276.5,8655.0,865.0,9758.0,140.0,43207.0,8334.0,1754.0,7565.0,557.5,9112.0,13185.0,43207.0,13904.5,11277.0,,5440.0,,11.5,0.17400885960421164,0.2610074792983706,0.029786099820083962,0.0265601063142546,-4393.844400000001
82,-28.460833,21.248889,21-01-2011,81.0,243.2,43.0,358.5,13063.0,10832.0,1245.0,9733.0,66.0,42430.5,8278.5,2611.0,6753.0,129.5,12046.5,14599.0,42430.5,12067.0,11038.5,8.0,5440.0,,150.0,0.05552743836309739,0.08328965205603253,-0.0059532050394572895,-0.09495237380934524,-344.58420000000206
83,-24.679167,30.8025,24-01-2011,24.95,99.6,10.0,148.0,10583.0,8832.5,375.0,9691.0,,43869.0,8799.5,685.0,9025.0,3601.0,9505.5,12245.0,43869.0,14908.5,13718.0,,5440.0,,25.0,0.07280532679165937,0.10920559826532623,0.0947840838325925,0.09809048557276226,-6008.119350000001
