Latitude,Longitude,Sample Date,blue,drad,red,green,urad,lwir,emsd,emis,trad,atran,swir16,atmos_opacity,swir22,nir08,cdist
-29.140556,31.391944,20-04-2012,9314.0,1174.0,9892.5,10096.0,2525.0,43207.0,75.5,9752.0,8334.0,6639.0,10613.0,215.0,9167.0,14501.0,17.0
-27.573056,24.746389,22-04-2012,8708.5,796.0,10208.5,9743.5,1591.0,43630.0,68.0,9673.0,8464.5,7726.0,14321.0,10.0,11779.5,13719.0,102.0
-29.7775,29.470833,23-04-2012,8872.5,250.0,11284.0,9785.0,436.5,40351.5,,9816.0,7516.0,9334.0,15402.0,9.0,12477.0,14298.0,3473.0
-29.987778,29.851667,23-04-2012,8175.5,416.0,8498.5,8901.5,767.0,41131.0,76.0,9841.0,7702.0,8761.0,12672.5,36.0,9709.5,17694.5,365.0
-29.744167,29.905833,23-04-2012,,665.5,,,1296.5,,-9999.0,-9999.0,8446.0,8274.0,,-9999.0,,,-9999.0
-26.73806,27.59194,23-04-2012,,-9999.0,,,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,,-9999.0,,,-9999.0
-29.160278,26.573333,23-04-2012,9703.0,572.0,10783.0,10350.0,1094.0,43589.0,88.0,9677.0,8539.0,8401.0,14136.0,81.0,11710.0,13767.0,557.5
-29.1825,23.575556,23-04-2012,,-9999.0,,,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,,-9999.0,,,-9999.0
-33.501667,21.624167,23-04-2012,8813.0,822.0,9812.5,9961.5,1654.0,45418.0,65.0,9626.0,9413.0,8037.0,11148.0,8.0,9020.5,15544.5,671.5
-33.818056,19.694722,23-04-2012,,-9999.0,,,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,,-9999.0,,,-9999.0
-28.7115,24.07288889,24-04-2012,9073.0,812.0,10037.0,9921.0,1631.0,43189.0,72.0,9650.0,8260.0,7663.0,12111.5,9.0,10357.5,12872.0,2609.5
-24.679167,30.8025,24-04-2012,8696.0,675.0,10361.0,9645.0,1326.0,44117.5,,9709.0,8855.0,8263.0,15259.5,9.0,13099.0,13650.0,1789.5
-25.127778,27.628889,24-04-2012,4548.5,-4625.5,4922.0,4792.0,-4258.5,21730.0,-4978.5,-130.0,-739.5,-1031.0,7045.5,-4917.0,5556.0,6756.5,-4689.0
-25.20639,27.558,24-04-2012,9246.0,742.0,9774.0,9892.5,1468.0,43315.0,54.0,9619.0,8372.0,7954.0,12143.0,114.0,9979.5,14204.5,130.5
-24.69514,27.40906,24-04-2012,9047.5,324.0,10242.5,9987.0,584.0,42303.5,117.5,9756.5,8185.0,9172.0,12085.0,9.0,9869.5,13909.0,375.0
-27.363611,31.783333,24-04-2012,8039.0,547.0,8596.0,8918.0,1046.0,43245.0,,9842.5,8558.0,8513.0,12271.0,9.0,9381.0,17685.0,1418.0
-30.733889,29.828333,24-04-2012,8453.0,616.0,9357.5,9286.0,1198.0,41815.0,48.5,9715.5,7776.0,8114.0,13212.5,12.0,10304.5,14813.0,781.5
-26.880278,26.965,24-04-2012,8613.5,234.0,10385.0,9536.0,400.0,42416.0,118.0,9757.5,8297.0,9405.0,15968.0,9.0,12425.0,14036.0,695.5
-29.615556,27.065278,24-04-2012,9709.0,563.0,11021.5,10638.5,1074.0,42150.5,71.0,9611.0,7943.5,8412.0,13021.0,36.0,11106.0,13827.5,894.5
-28.883333,27.89,24-04-2012,9144.0,463.0,9921.5,9762.0,863.0,42532.0,,9411.0,8055.5,8727.0,12227.0,23.0,10596.0,13563.5,57.0
-29.161667,23.696389,25-04-2012,9054.0,851.0,9125.0,9928.5,1723.0,41888.5,90.0,9876.0,7925.0,7526.0,7596.0,40.0,7502.0,8021.5,238.0
-24.183889,30.823889,25-04-2012,8729.0,996.5,9774.5,9585.5,2068.0,44780.5,48.5,9649.5,9060.0,7468.0,11804.0,9.0,9706.0,13757.5,3307.5
-22.769722,30.886944,25-04-2012,8503.0,851.0,9668.0,9247.0,1730.0,46227.0,,9654.0,9562.0,7841.0,14209.0,9.0,11909.0,14372.0,3200.0
-27.937778,31.209444,25-04-2012,8066.0,413.0,8660.0,8848.0,761.5,,-9999.0,-9999.0,8260.0,8849.5,12188.0,9.0,9680.0,15252.5,1487.0
-26.905,32.324722,25-04-2012,7668.0,635.0,7943.0,8343.0,1240.0,42810.0,,9875.0,8409.0,8273.0,11403.0,9.0,8730.0,18207.0,2385.5
-27.935,26.126667,25-04-2012,8880.0,226.0,10361.0,9592.0,383.0,42608.5,77.5,9625.0,8241.5,9427.0,15494.0,9.0,13438.5,12200.0,380.0
-34.075556,20.145556,25-04-2012,9736.0,993.5,12048.5,11056.0,2070.0,49281.5,59.0,9603.0,10641.0,7461.0,17648.5,8.0,14299.0,16015.5,1018.0
-30.398056,30.601944,26-04-2012,7994.0,729.0,8448.0,8781.0,1445.0,,-9999.0,-9999.0,7962.0,7843.0,11495.0,9.0,8904.0,17938.5,1564.0
-30.27402,30.69602,26-04-2012,8184.5,740.0,8768.5,8951.5,1469.0,,-9999.0,-9999.0,8148.0,7820.0,12187.0,11.0,9575.0,14927.5,242.0
-30.679722,26.7125,26-04-2012,,-9999.0,,,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,,-9999.0,,,-9999.0
-30.160091,27.40124,26-04-2012,9945.0,571.0,11259.0,10694.0,1092.0,42142.5,124.0,9714.0,7999.5,8383.0,15062.0,19.0,12002.5,14203.0,64.5
-34.005833,22.351111,26-04-2012,8572.0,668.5,9146.5,9335.5,1330.0,41591.0,80.5,9650.0,7776.0,8075.0,13178.0,12.0,10518.0,15806.0,243.0
-29.803611,30.516111,27-04-2012,8674.5,507.0,9589.0,9585.0,958.0,42182.5,112.0,9790.0,8055.5,8516.0,13137.0,9.0,10630.0,15341.0,541.0
-29.758889,30.935278,28-04-2012,,-9999.0,,,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,,-9999.0,,,-9999.0
-28.760833,17.730278,29-04-2012,,-9999.0,,,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,,-9999.0,,,-9999.0
-25.99136,27.84208,30-04-2012,9201.0,629.0,9820.5,9689.0,1218.0,43628.0,39.0,9676.0,8501.5,8238.0,13952.5,43.0,11295.0,13502.5,490.5
-29.380556,30.2775,30-04-2012,,-9999.0,,,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,,-9999.0,,,-9999.0
-34.065833,20.404167,01-05-2012,,-9999.0,,,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,,-9999.0,,,-9999.0
-26.006389,29.253889,01-05-2012,,-9999.0,,,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,,-9999.0,,,-9999.0
-25.45963889,28.26430556,01-05-2012,9200.0,745.0,10013.0,9773.0,1476.0,44125.0,176.0,9636.0,8595.0,7919.0,13801.0,49.5,11238.0,14798.0,560.0
-33.897778,20.012778,01-05-2012,8185.0,1284.0,8664.0,8904.0,2807.0,44296.0,42.0,9687.0,8632.0,6341.0,10627.0,10.0,8752.0,13667.0,688.0
-29.161667,23.696389,02-05-2012,,-9999.0,,,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,,-9999.0,,,-9999.0
-25.81048333,27.90955222,02-05-2012,9070.0,687.0,9869.0,9655.0,1346.0,43429.5,106.0,9608.0,8446.0,8084.0,14096.0,103.0,11368.0,13320.5,147.5
-26.861111,28.884722,02-05-2012,9327.0,539.0,10784.0,10038.5,1023.5,44583.0,,9570.5,8930.0,8563.5,15833.0,9.0,13190.0,13229.0,698.5
-29.033333,23.983333,02-05-2012,9374.0,613.0,10287.0,10061.5,1181.0,42696.0,73.0,9678.0,8223.0,8330.0,13031.0,67.0,10953.5,15457.5,387.5
-28.058889,30.373611,02-05-2012,9040.5,600.0,9992.5,9866.0,1155.0,44344.0,96.0,9657.0,8873.5,8426.0,13920.5,30.0,11004.5,14296.5,1379.0
-24.925278,29.324444,03-05-2012,9132.5,793.0,10089.0,9662.5,1598.5,44462.0,140.0,9759.0,9004.0,7955.5,14803.5,52.0,12086.0,13643.0,421.5
-27.00222,28.76528,03-05-2012,9335.5,544.0,10519.0,10024.5,1033.0,,-9999.0,-9999.0,8725.0,8546.5,12756.0,30.0,10954.0,11921.5,902.5
-27.398611,26.614722,03-05-2012,8427.5,231.0,9250.5,9164.0,392.0,41699.5,62.0,9796.0,8037.0,9416.0,12550.5,8.0,10714.0,14074.0,39.0
-27.671111,27.236944,03-05-2012,9760.0,533.0,10849.5,10313.5,1010.0,43544.5,96.5,9704.5,8539.0,8546.0,13883.0,22.0,11694.5,13525.0,32.5
-27.4,26.624722,03-05-2012,8571.5,231.0,9345.5,9269.0,393.0,41792.0,58.5,9748.0,8018.0,9415.0,12862.0,8.0,10650.0,13551.0,71.5
-26.648056,27.089444,04-05-2012,8592.5,229.0,9954.0,9431.5,391.0,42619.5,74.0,9785.5,8390.0,9417.0,15687.0,9.0,12281.5,14091.0,390.5
-26.970278,27.211111,04-05-2012,8974.0,596.0,9138.5,9340.5,1145.5,41972.0,128.0,9876.0,8074.0,8349.0,8044.5,45.0,7830.5,8909.5,1142.0
-26.880278,26.965,04-05-2012,8613.5,234.0,10385.0,9536.0,400.0,42416.0,118.0,9757.5,8297.0,9405.0,15968.0,9.0,12425.0,14036.0,695.5
-27.01011111,26.69808333,07-05-2012,8153.0,225.0,8705.0,8714.0,381.0,41804.0,67.0,9724.0,7999.0,9431.0,10408.5,9.0,9166.0,11286.0,103.5
-26.73806,27.59194,07-05-2012,,-9999.0,,,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,,-9999.0,,,-9999.0
-26.45,28.085833,07-05-2012,9634.0,575.0,11671.5,10490.0,1099.0,44395.0,89.5,9671.5,8818.0,8384.0,17932.0,29.0,14046.0,15192.0,220.0
-26.98472222,26.63227778,07-05-2012,8930.0,223.0,10787.0,9875.0,378.0,43380.5,77.0,9704.0,8632.0,9436.0,15653.5,8.0,13723.0,13692.5,250.5
-32.502778,19.535833,07-05-2012,9985.0,517.5,13687.5,12002.0,987.5,44282.0,54.0,9520.0,8836.5,8698.0,18863.0,8.0,16243.0,16640.5,2813.5
-29.161667,23.696389,08-05-2012,,-9999.0,,,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,,-9999.0,,,-9999.0
-25.127778,27.628889,08-05-2012,4548.5,-4625.5,4922.0,4792.0,-4258.5,21730.0,-4978.5,-130.0,-739.5,-1031.0,7045.5,-4917.0,5556.0,6756.5,-4689.0
-25.20639,27.558,08-05-2012,9246.0,742.0,9774.0,9892.5,1468.0,43315.0,54.0,9619.0,8372.0,7954.0,12143.0,114.0,9979.5,14204.5,130.5
-24.69514,27.40906,08-05-2012,9047.5,324.0,10242.5,9987.0,584.0,42303.5,117.5,9756.5,8185.0,9172.0,12085.0,9.0,9869.5,13909.0,375.0
-28.747778,31.745833,08-05-2012,8898.5,1198.0,9801.0,9833.5,2589.0,44194.5,53.0,9723.0,8632.0,6570.0,14189.5,178.0,10877.0,16163.5,2874.5
-27.169444,29.233889,08-05-2012,9549.0,556.0,11050.0,10382.0,1061.0,43699.5,,9799.5,8706.0,8509.0,17950.0,9.0,14230.0,14276.0,1807.0
-26.648056,27.089444,08-05-2012,8592.5,229.0,9954.0,9431.5,391.0,42619.5,74.0,9785.5,8390.0,9417.0,15687.0,9.0,12281.5,14091.0,390.5
-26.970278,27.211111,08-05-2012,8974.0,596.0,9138.5,9340.5,1145.5,41972.0,128.0,9876.0,8074.0,8349.0,8044.5,45.0,7830.5,8909.5,1142.0
-26.880278,26.965,08-05-2012,8613.5,234.0,10385.0,9536.0,400.0,42416.0,118.0,9757.5,8297.0,9405.0,15968.0,9.0,12425.0,14036.0,695.5
-28.141944,26.417778,08-05-2012,8495.0,226.0,9589.0,9058.0,382.0,42248.0,48.5,9708.0,8185.0,9426.0,14420.0,9.0,11880.0,12936.5,782.5
-28.116667,26.725278,08-05-2012,8631.0,226.0,9914.0,9369.0,382.5,41817.5,39.0,9790.0,8074.0,9424.5,14449.0,9.0,11665.5,13306.0,678.0
-29.042222,24.6,08-05-2012,9366.5,544.0,9608.5,10125.0,1038.0,41984.5,105.0,9794.0,7999.0,8502.0,9509.0,41.0,8628.5,10961.0,187.5
-28.460833,21.248889,08-05-2012,8702.0,515.0,9374.0,9526.0,984.0,42453.0,66.0,9822.5,8334.0,8702.0,10912.5,9.0,9404.0,13769.5,22.5
-31.396,29.2651,08-05-2012,8655.0,585.0,9681.5,9521.5,1143.0,41263.0,127.0,9731.0,7851.0,8484.0,9317.5,9.0,8937.5,9832.0,153.0
-25.57877778,29.12747222,08-05-2012,9110.5,776.5,9628.5,9473.5,1548.5,44222.0,,9384.0,8725.0,7813.0,12142.0,11.0,10522.0,12144.5,2276.0
-29.161667,23.696389,09-05-2012,,-9999.0,,,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,,-9999.0,,,-9999.0
-25.49037,30.6986,09-05-2012,8625.5,731.0,9180.0,9140.0,1455.0,42896.5,,9587.0,8223.0,7967.0,12732.0,106.0,10053.0,14443.0,678.0
-28.801278,31.955389,09-05-2012,8574.5,667.0,9509.5,9488.0,1315.0,42211.0,18.0,9803.5,8074.0,8104.0,12881.5,28.0,10097.0,15794.0,552.5
-27.273889,28.49,09-05-2012,,-9999.0,,,-9999.0,,-9999.0,-9999.0,-9999.0,-9999.0,,-9999.0,,,-9999.0
-27.4275,28.525833,09-05-2012,10085.0,525.0,12919.0,11368.5,990.0,,-9999.0,-9999.0,8595.0,8526.0,18932.5,14.0,14917.0,16661.0,1452.5
-27.3,28.586944,09-05-2012,9566.0,525.5,11761.0,10575.0,990.5,,-9999.0,-9999.0,8762.5,8525.0,16749.5,31.0,14034.0,14343.0,775.5
-27.398611,26.614722,09-05-2012,8427.5,231.0,9250.5,9164.0,392.0,41699.5,62.0,9796.0,8037.0,9416.0,12550.5,8.0,10714.0,14074.0,39.0
-29.028629,24.638389,09-05-2012,9569.5,541.0,10458.0,10369.0,1031.0,43118.5,61.0,9669.0,8371.5,8509.0,13600.5,57.5,11635.0,14753.5,152.0
-29.1825,23.575556,09-05-2012,9370.5,642.0,10031.0,10606.0,1240.0,42065.0,84.0,9876.0,8129.5,8262.0,8574.5,108.0,8114.0,9945.5,786.0
-30.570833,29.150556,09-05-2012,8699.5,275.0,10533.5,9601.0,486.0,40041.0,51.5,9674.0,7311.5,9274.0,14189.5,9.0,11833.0,12739.5,880.5
-31.104278,29.399722,09-05-2012,8136.0,510.5,8714.0,8740.0,977.5,40346.5,26.0,9755.0,7516.0,8686.5,10496.5,8.0,9144.0,11740.0,6048.5
-33.31388889,19.07472222,09-05-2012,8274.5,631.0,9085.0,8908.0,1237.5,42993.5,55.0,9712.0,8483.0,8409.0,11545.0,9.0,9863.0,12692.5,404.5
-28.7115,24.07288889,10-05-2012,,-4689.0,,,-4401.0,,-9999.0,-9999.0,-851.0,-840.5,,-9999.0,,,-9999.0
-29.140556,31.391944,10-05-2012,9228.5,1265.0,9817.0,9995.5,2757.0,43015.0,75.5,9752.0,8260.0,6348.0,10901.5,214.5,9304.5,14394.0,13.5
-28.75,30.442778,10-05-2012,12372.0,929.0,12890.0,12721.5,1901.0,42129.0,88.0,9685.0,7999.0,7414.0,14746.5,86.0,13207.5,14604.0,
-29.161667,30.629722,10-05-2012,8892.5,781.0,10110.0,9692.5,1564.5,43848.5,71.0,9770.5,8613.5,7795.5,15414.5,172.5,13174.0,13717.5,821.0
-27.38972222,26.46388889,10-05-2012,8573.0,230.0,9061.0,9272.0,390.0,41655.0,98.0,9876.0,8074.0,9419.0,8259.0,9.0,8099.0,9159.5,479.0
-27.935,26.126667,10-05-2012,8880.0,226.0,10361.0,9592.0,383.0,42608.5,77.5,9625.0,8241.5,9427.0,15494.0,9.0,13438.5,12200.0,380.0
-27.671111,27.236944,10-05-2012,9760.0,533.0,10849.5,10313.5,1010.0,43544.5,96.5,9704.5,8539.0,8546.0,13883.0,22.0,11694.5,13525.0,32.5
-28.376944,24.303056,10-05-2012,9304.0,625.0,9925.5,9908.5,1205.0,42858.0,93.5,9724.5,8315.5,8305.0,13156.0,117.0,11043.0,13725.0,630.0
-31.031389,28.883333,10-05-2012,8724.5,384.0,9744.0,9850.0,710.0,40862.5,40.0,9683.0,7683.5,9005.0,10592.5,9.0,9155.5,11292.5,4363.5
-30.86013889,29.07125,10-05-2012,8831.0,404.0,10246.0,9698.0,753.0,40985.5,31.5,9794.0,7739.0,8948.0,12146.5,9.0,10156.0,11742.0,4085.0
-30.77586667,29.03221667,10-05-2012,8895.0,386.0,10706.0,9956.5,714.5,41374.5,44.0,9662.0,7776.0,8993.5,15440.0,9.0,12645.5,14205.0,3394.0
-33.7075,18.97444444,10-05-2012,4059.0,-4662.0,4326.0,4429.0,-4333.5,21821.0,-4952.0,-183.5,-683.5,-866.0,4896.5,-4995.0,4288.0,5261.0,-4966.0
-33.72266667,18.61691667,10-05-2012,9079.5,641.0,10736.5,10101.5,1259.0,44277.5,111.0,9654.0,8911.0,8362.0,15762.0,9.0,12525.0,14730.5,119.0
-27.902778,24.615556,11-05-2012,9447.0,617.0,10623.0,10343.5,1193.0,43946.0,78.0,9716.0,8706.0,8316.0,15573.0,47.0,12524.0,15022.5,1118.5
-28.44555556,32.325,19-04-2012,8576.5,773.5,9266.5,9445.0,1555.0,42660.0,,9840.0,8185.0,7737.0,12606.0,24.0,9989.0,17955.0,990.0
-31.554722,29.245556,12-05-2012,8318.0,553.0,9044.0,9345.0,1072.5,42691.0,93.0,9830.0,8409.0,8559.5,14308.0,9.0,10543.5,17850.5,1274.5
-28.760833,17.730278,13-05-2012,21531.0,527.0,22817.5,22105.0,1022.0,28069.5,,9880.0,4037.5,8605.0,18269.0,8.0,17009.0,23472.5,
-25.99136,27.84208,14-05-2012,9201.0,629.0,9820.5,9689.0,1218.0,43628.0,39.0,9676.0,8501.5,8238.0,13952.5,43.0,11295.0,13502.5,490.5
