,Latitude,Longitude,Sample Date,drad,green,nir08,cdist,atran,blue,swir16,lwir,urad,emsd,trad,swir22,emis,red,atmos_opacity
45,-23.658056,31.05,14-05-2015,686.5,9369.0,14182.5,851.5,8297.0,8264.5,14324.5,,1367.0,,9421.0,12195.5,9652.5,9582.0,
46,-27.273889,28.49,14-05-2015,624.5,9056.0,11309.5,2667.0,8194.5,8062.0,9363.5,,1207.5,24.5,8104.0,8292.0,9832.5,9118.0,
47,-31.000833,26.353056,14-05-2015,689.0,9518.0,12105.0,218.0,7944.0,8401.0,11536.0,,1362.0,56.0,7878.0,10267.0,9718.0,9963.0,
48,-30.534167,24.961944,14-05-2015,514.0,11223.0,14509.0,87.0,8539.5,10308.0,14729.0,40403.0,979.0,70.0,7404.0,13042.5,9758.0,11737.5,21.0
49,-33.7075,18.97444444,14-05-2015,609.0,9058.5,13312.5,110.5,8249.0,8616.0,11896.5,43046.0,1194.0,95.0,8260.0,10709.0,9632.0,9403.0,9.0
50,-29.744167,29.905833,15-05-2015,431.0,9382.5,15275.0,905.0,8879.0,8407.0,13726.5,,806.5,69.0,8219.5,10999.5,9752.0,9587.5,
51,-29.7775,29.470833,18-05-2015,603.0,10367.0,17136.5,226.5,8349.5,8772.5,15396.5,,1180.0,,7434.5,12541.0,9843.0,10616.5,
52,-29.744167,29.905833,18-05-2015,868.0,10266.0,15833.0,55.5,7563.5,8790.5,14853.5,,1803.5,69.0,7365.0,11976.5,9748.0,10465.5,
53,-34.065833,20.404167,19-05-2015,625.0,8374.0,13243.0,359.0,8287.0,7815.0,10292.0,,1253.0,82.0,7951.0,8778.0,9775.0,8280.0,
54,-34.075556,20.145556,23-09-2013,282.0,10427.0,15875.0,178.0,9302.0,9228.0,16716.5,45514.0,488.0,59.0,9450.0,13563.5,9603.0,11095.5,9.0
55,-24.679167,30.8025,19-05-2015,480.0,9204.0,13271.0,106.0,8775.0,8194.5,13311.0,,912.0,,8424.5,11423.5,9722.0,9570.5,
56,-25.127778,27.628889,19-05-2015,852.0,9927.0,13570.5,572.5,7713.0,9298.0,16527.0,,1725.0,42.0,9181.0,15120.0,9747.0,10791.0,
57,-25.20639,27.558,19-05-2015,850.5,9523.5,14422.5,612.0,7714.5,8159.0,12836.0,,1723.5,54.0,8692.5,10781.0,9644.0,9690.5,
58,-24.39619444,27.08983333,19-05-2015,885.0,9362.0,13382.5,2497.5,7613.0,8356.0,11890.0,,1807.0,201.0,8830.0,10197.5,9629.5,9226.5,
59,-24.69514,27.40906,19-05-2015,883.0,9661.0,13782.0,1192.5,7623.0,8653.0,12004.0,,1799.0,117.5,9116.5,10093.5,9597.0,9929.0,
60,-30.733889,29.828333,19-05-2015,549.0,9131.5,15321.5,2565.5,8558.5,8272.0,13415.5,,1058.5,48.5,8584.0,10697.0,9726.5,9118.5,
61,-29.987778,29.851667,19-05-2015,858.0,9913.5,16981.5,40.0,7587.0,8681.5,14649.5,,1773.0,76.0,6996.0,12040.5,9792.5,9937.5,
62,-27.02314,28.59389,19-05-2015,453.0,10106.5,11675.0,172.0,8805.0,9534.0,11392.5,41461.0,844.0,,7794.5,10186.5,9732.0,10402.5,14.0
63,-28.141944,26.417778,19-05-2015,457.0,9966.0,13327.0,1565.5,8752.0,9336.5,15905.5,42953.0,856.0,48.5,8372.0,13758.5,9707.0,10822.0,9.0
64,-28.1175,26.719444,19-05-2015,461.0,9865.0,12237.0,649.0,8738.0,9165.5,13875.5,42272.0,864.0,54.0,8129.5,11866.5,9755.5,10349.5,9.0
65,-34.092222,21.295278,19-05-2015,726.0,9919.0,16754.0,136.0,7967.0,9099.5,16880.0,42009.0,1464.0,99.0,8037.0,13006.5,9787.5,10470.5,23.0
66,-33.31388889,19.07472222,19-05-2015,558.0,8843.5,12276.0,724.5,8425.0,8154.5,11144.0,41798.0,1081.0,55.0,7906.5,9729.0,9712.0,8981.5,9.0
67,-29.161667,23.696389,20-05-2015,403.0,10587.0,9194.0,7.0,8913.0,9808.0,8780.0,40101.0,745.0,90.0,7441.0,8643.0,9876.0,10036.5,50.0
68,-22.225556,29.990556,20-05-2015,770.0,10101.0,9092.0,1150.5,8014.0,9307.0,8226.0,43508.0,1550.0,,8744.0,8005.0,9876.0,10111.0,8.0
69,-24.183889,30.823889,20-05-2015,665.5,9209.0,14111.0,2664.0,8344.0,8262.5,11495.0,,1320.5,48.5,9064.5,9851.5,9663.0,9273.5,
70,-24.058889,31.237222,20-05-2015,712.0,9288.5,14775.5,695.0,8231.0,8400.0,13089.5,,1425.0,49.0,9278.0,11132.0,9641.0,9380.5,
71,-26.03611,30.99778,20-05-2015,648.5,9615.0,12997.0,2046.5,8337.5,9057.0,12799.5,42438.5,1276.5,82.0,8241.5,10760.5,9691.5,9775.0,9.0
72,-34.075556,20.145556,09-06-2015,347.0,9844.5,14996.0,361.5,9061.0,8787.5,15910.0,,640.0,59.0,7662.5,12734.0,9619.0,10417.5,
73,-27.937778,31.209444,20-05-2015,609.0,8898.0,12634.5,361.0,8432.5,8144.5,12553.5,,1198.5,-9999.0,8622.0,10479.5,-9999.0,9034.0,
74,-28.404444,30.013056,20-05-2015,642.0,9030.5,12713.5,1440.0,8291.5,8379.5,13546.5,,1271.5,23.0,8668.5,11360.0,9857.0,9539.0,
75,-32.595833,19.009444,17-03-2011,1175.5,10334.0,15218.5,6441.0,7112.5,9227.5,14735.0,47629.0,2505.5,56.0,10070.0,12208.5,9714.0,10903.5,9.0
76,-32.595833,19.009444,13-04-2011,1091.0,9716.0,15474.0,951.5,7177.0,8983.5,14563.0,45957.5,2279.0,56.0,9432.0,11692.0,9705.0,10285.5,9.0
77,-26.880278,26.965,20-05-2015,526.0,10249.5,15618.0,620.0,8598.0,8885.0,16702.0,,1003.0,118.0,8690.0,13455.5,9699.5,10873.0,
78,-32.595833,19.009444,14-06-2011,812.0,9365.0,11729.0,92.0,7711.0,8931.0,11435.0,40659.0,1653.0,56.0,7534.5,9999.5,9705.0,9611.0,13.0
79,-32.595833,19.009444,15-07-2011,255.0,8993.0,10798.0,101.0,9337.0,8262.0,10124.5,40758.5,437.0,56.0,7553.0,9541.0,9705.0,8887.0,9.0
80,-32.595833,19.009444,11-08-2011,255.0,8993.0,10798.0,101.0,9337.0,8262.0,10124.5,40758.5,437.0,56.0,7553.0,9541.0,9705.0,8887.0,9.0
81,-32.595833,19.009444,05-10-2011,335.0,9175.0,11898.5,66.5,9147.0,8451.0,10895.0,42268.0,595.0,56.0,8185.0,9892.0,9705.0,9113.0,9.0
82,-28.96362,19.15486,20-05-2015,521.0,9348.5,9557.0,164.0,8571.0,8062.5,8915.0,,1008.0,57.0,8497.0,8734.0,9754.5,9192.0,
83,-34.405833,19.600556,20-05-2015,615.0,9810.0,15692.5,6.5,8323.0,8643.5,13388.5,,1231.0,89.0,7357.5,11283.0,9643.0,9879.0,
84,-33.13083,18.86278,20-05-2015,537.0,9960.0,13884.5,1354.0,8497.0,8925.0,12349.0,42601.5,1035.0,85.0,8222.5,10776.0,9756.5,10291.5,8.0
85,-27.5275,30.858056,21-05-2015,511.0,9438.0,14996.5,2150.0,8678.5,8540.0,14693.5,,985.0,63.0,8576.5,12069.5,9700.0,10063.5,
86,-30.13573889,30.67422222,21-05-2015,962.0,9248.5,11258.5,4.0,7379.0,8218.5,10305.5,,2011.5,-9999.0,8527.5,9239.5,-9999.0,9100.5,
87,-32.595833,19.009444,10-04-2012,579.5,9390.0,13114.0,102.0,8547.5,8730.5,12349.0,43119.5,1124.5,56.0,8520.0,10305.0,9705.0,9612.0,9.0
88,-32.595833,19.009444,08-05-2012,579.5,9390.0,13114.0,102.0,8547.5,8730.5,12349.0,43119.5,1124.5,56.0,8520.0,10305.0,9705.0,9612.0,9.0
89,-27.38972222,26.46388889,21-05-2015,487.0,9479.5,9756.5,480.5,8684.0,8720.0,8386.5,42138.0,918.0,98.0,8185.5,8028.5,9876.0,9327.5,8.0
90,-32.595833,19.009444,24-07-2012,340.0,8866.5,10283.5,104.5,9038.0,8217.0,9155.0,40499.5,607.0,56.0,7441.0,8700.0,9705.0,8826.5,9.0
91,-32.595833,19.009444,22-08-2012,340.0,8866.5,10283.5,104.5,9038.0,8217.0,9155.0,40499.5,607.0,56.0,7441.0,8700.0,9705.0,8826.5,9.0
92,-27.398611,26.614722,21-05-2015,487.0,9474.0,14464.0,35.5,8682.0,8715.0,12507.5,42269.5,918.0,62.0,8166.5,10271.5,9794.0,9697.0,9.0
93,-28.376944,24.303056,21-05-2015,-9999.0,,,-9999.0,-9999.0,,,,-9999.0,-9999.0,-9999.0,,-9999.0,,-9999.0
94,-34.250556,20.9925,21-05-2015,716.0,11658.5,14027.5,,7999.0,11165.5,13265.0,40282.0,1443.0,22.0,7441.0,11913.0,9775.0,11400.0,209.0
95,-34.329722,18.990278,21-05-2015,404.0,8820.5,11647.0,175.5,8895.0,8115.5,10362.0,40604.0,747.0,60.0,7441.0,9120.0,9612.0,8747.5,8.0
96,-32.94583,18.33667,21-05-2015,500.0,10750.0,15636.0,1334.5,8617.0,9648.0,16619.0,43374.0,956.0,66.0,8483.0,13631.0,9618.5,11698.5,8.0
97,-27.4,26.624722,21-05-2015,487.0,9389.0,13314.0,70.5,8681.0,8714.0,13096.0,42404.5,919.0,58.5,8185.5,10781.5,9747.5,9771.0,9.0
98,-27.902778,24.615556,22-05-2015,480.0,11893.5,17891.5,12.5,8701.0,9663.5,19103.0,,904.0,78.0,7883.5,15818.5,9736.0,13098.5,
99,-29.803611,30.516111,22-05-2015,541.0,9152.0,15626.5,545.0,8616.0,8303.5,13099.5,,1057.0,112.0,8452.0,10735.5,9816.5,9107.5,
100,-33.501667,21.624167,23-05-2015,611.0,9083.5,13802.0,667.5,8350.0,8383.0,11270.5,42897.0,1202.0,65.0,8315.5,9412.0,9626.0,9036.5,9.0
101,-25.99136,27.84208,25-05-2015,377.0,9594.0,13828.5,93.5,9021.0,8766.0,15454.5,43993.0,689.0,39.0,8799.5,13043.5,9671.0,10219.0,9.0
102,-26.970278,27.211111,25-05-2015,-9999.0,,,-9999.0,-9999.0,,,,-9999.0,-9999.0,-9999.0,,-9999.0,,-9999.0
103,-32.595833,19.009444,20-08-2013,494.0,9224.0,11156.5,47.0,8633.5,8586.0,10265.0,40765.5,940.5,56.0,7553.0,9290.5,9705.0,9133.5,20.0
104,-26.880278,26.965,25-05-2015,465.0,10325.0,14968.5,624.0,8756.0,9328.5,17067.0,43451.0,873.0,118.0,8613.5,13743.5,9751.5,11122.0,9.0
105,-32.595833,19.009444,08-10-2013,497.0,8934.5,11477.0,1443.5,8707.0,8314.5,10280.0,43240.0,930.0,56.0,8557.5,9404.0,9705.0,8991.0,9.0
106,-26.73806,27.59194,25-05-2015,428.0,8609.0,9071.0,97.5,8856.0,8252.5,7972.0,41296.0,796.0,33.0,7925.0,7707.5,9733.0,8614.5,9.0
107,-26.45,28.085833,25-05-2015,334.0,10095.0,14723.0,198.0,9120.0,9113.5,17722.0,,605.0,89.5,9258.0,14615.5,9683.0,11310.5,
108,-27.01011111,26.69808333,26-05-2015,479.0,9113.0,11389.0,104.5,8710.0,8604.5,10514.0,41860.5,901.0,67.0,7962.0,9030.5,9723.0,9000.0,9.0
109,-29.380556,30.2775,26-05-2015,434.5,9194.5,14059.0,106.0,8882.0,8338.0,14286.0,,821.5,94.0,8388.5,11371.0,9721.0,9559.5,
110,-26.861111,28.884722,26-05-2015,334.0,10002.0,14659.5,847.5,9118.5,9145.5,17181.0,,604.0,,8886.0,13954.5,9569.0,11005.5,
111,-26.648056,27.089444,26-05-2015,446.0,9988.5,14187.5,299.5,8811.0,9126.0,16602.5,43685.5,832.0,74.0,8725.0,13078.0,9764.5,10952.0,9.0
112,-32.595833,19.009444,24-06-2014,384.0,8401.5,10804.0,92.0,8954.0,7704.5,9877.5,,718.0,56.0,7467.0,8931.0,9701.0,8608.5,
113,-32.595833,19.009444,23-09-2014,721.5,8826.0,12651.5,1443.0,8103.5,7967.5,11301.5,,1422.5,56.0,9007.5,9797.0,9701.0,8781.5,
114,-26.98472222,26.63227778,26-05-2015,471.0,10025.0,14708.5,246.0,8742.0,9211.0,15768.5,43749.5,885.0,77.0,8687.5,13077.0,9703.0,10856.5,8.0
115,-28.141944,26.417778,26-05-2015,457.0,9966.0,13327.0,1565.5,8752.0,9336.5,15905.5,42953.0,856.0,48.5,8372.0,13758.5,9707.0,10822.0,9.0
116,-25.45963889,28.26430556,26-05-2015,374.0,9435.5,14839.5,601.0,9043.0,8575.5,14005.0,,689.0,176.0,9107.0,11605.0,9621.0,9720.5,
117,-25.81048333,27.90955222,27-05-2015,369.0,9375.0,13356.0,136.5,9050.0,8774.0,14011.0,,677.0,106.0,8484.5,11696.5,9610.0,9664.0,
118,-32.595833,19.009444,09-06-2015,322.0,9022.5,11704.5,96.0,9126.5,8405.0,11529.0,40291.5,581.5,56.0,7404.0,9823.5,9705.0,9308.0,9.0
119,-32.595833,19.009444,21-07-2015,269.0,8961.5,11456.5,83.0,9339.5,8134.5,10702.0,,468.5,56.0,7140.5,9742.0,9701.0,9155.5,
120,-32.595833,19.009444,18-08-2015,338.0,9046.0,11889.0,101.5,9057.0,8335.0,11525.5,40420.0,604.0,56.0,7404.0,10109.0,9705.0,9151.0,9.0
121,-22.225556,29.990556,27-05-2015,747.0,9325.0,7986.0,425.5,8129.0,8002.0,7921.0,,1500.0,,9074.0,7818.5,9904.0,9096.5,
122,-24.282222,28.090278,27-05-2015,337.0,8927.5,13611.5,1616.0,9148.0,8279.0,13485.5,,612.0,103.0,9096.5,11110.5,9726.0,9048.0,
123,-28.747778,31.745833,27-05-2015,994.0,9447.0,16476.5,849.0,7361.0,8497.0,14590.0,,2101.0,53.0,8972.5,11646.5,9718.0,9468.5,
124,-27.00222,28.76528,27-05-2015,341.0,10021.0,13956.5,1546.5,9098.0,8969.5,15513.5,,618.0,-9999.0,8719.5,13081.0,-9999.0,10662.0,
125,-27.273889,28.49,27-05-2015,343.0,9088.5,10698.5,21.5,9087.0,8355.5,9427.5,,622.5,24.5,8159.0,8399.0,9827.5,9239.5,
126,-29.033333,23.983333,27-05-2015,610.0,10053.0,13895.0,878.0,8338.0,9087.5,13824.0,42634.5,1182.0,73.0,8204.0,11468.5,9673.0,10674.0,87.5
127,-33.08883333,19.21878333,15-10-2013,369.0,10150.5,14043.5,400.5,9003.5,9284.0,15214.0,43671.0,656.5,51.0,8613.5,13084.0,9641.0,10457.5,9.0
128,-25.57877778,29.12747222,28-05-2015,380.0,9702.5,14406.5,114.5,9025.5,8572.5,15351.5,,700.5,,8494.0,12549.0,9585.0,10541.5,
129,-29.744167,29.905833,29-05-2015,415.0,9696.0,15078.0,522.5,8954.5,8668.5,14862.0,,780.0,69.0,8313.5,12102.5,9750.0,10136.5,
130,-28.768056,20.720556,29-05-2015,371.0,9681.5,12688.5,22.5,9006.0,8547.0,11549.0,,694.0,73.0,8265.0,9551.5,9595.0,9502.5,
131,-22.225556,29.990556,01-06-2015,747.0,9325.0,7986.0,425.5,8129.0,8002.0,7921.0,,1500.0,,9074.0,7818.5,9904.0,9096.5,
132,-33.08883333,19.21878333,23-06-2014,296.0,9153.0,13061.0,262.5,9188.5,8228.0,12467.0,,531.5,51.0,7304.0,10283.0,9642.0,9469.0,
133,-26.510278,28.351389,01-06-2015,332.0,9721.5,13284.0,70.5,9124.0,8776.5,14812.0,,600.0,,8843.5,12894.0,9557.0,10669.0,
134,-33.08883333,19.21878333,12-08-2014,599.0,9411.5,12788.0,376.0,8422.5,8471.0,12929.5,,1169.5,51.0,7990.5,10983.5,9642.0,9752.0,
135,-33.08883333,19.21878333,10-09-2014,312.0,9459.0,12768.5,343.0,9188.5,8663.0,13521.0,,556.0,51.0,8084.0,11630.0,9642.0,9702.5,
136,-33.08883333,19.21878333,22-10-2014,328.0,10138.5,13775.0,843.0,9166.0,8973.5,15416.0,,585.0,51.0,9483.5,13438.0,9642.0,10495.0,
137,-33.08883333,19.21878333,20-11-2014,371.0,10100.0,14554.0,1150.0,9059.5,8917.5,16026.5,,668.0,51.0,10005.0,13435.5,9642.0,10469.0,
138,-33.08883333,19.21878333,14-01-2015,973.5,10286.0,14301.0,1150.0,7517.5,9283.5,15969.0,47551.5,1988.5,51.0,10009.0,13036.5,9641.0,10924.5,9.0
139,-33.08883333,19.21878333,18-02-2015,571.0,10104.0,14660.5,1155.0,8457.5,9114.0,15527.0,44931.0,1089.0,51.0,9041.0,12966.5,9641.0,10404.0,9.0
140,-33.08883333,19.21878333,19-03-2015,653.0,9982.0,14638.5,1150.0,8343.0,8861.0,15525.5,,1277.0,51.0,9563.0,12561.0,9642.0,10309.5,
141,-33.08883333,19.21878333,15-04-2015,359.0,9900.0,13964.0,1025.5,9019.5,8776.5,14775.0,42544.0,655.0,51.0,8185.0,12276.0,9641.0,10304.5,9.0
142,-27.671111,27.236944,01-06-2015,382.0,9598.5,13872.0,7.5,8974.0,8362.5,13012.0,,702.0,96.5,8335.5,11679.0,9691.5,9867.0,
143,-33.08883333,19.21878333,19-08-2015,267.0,9209.5,12481.0,174.5,9246.0,8664.5,12973.0,40026.0,461.0,51.0,7218.0,11068.5,9632.0,9476.5,9.0
144,-33.08883333,19.21878333,16-09-2015,249.0,9878.5,13055.5,844.0,9358.0,9003.5,15173.0,,420.0,51.0,8597.0,13271.5,9642.0,10319.0,
145,-30.568333,29.422778,01-06-2015,296.5,9173.0,14601.0,61.5,9246.5,8505.0,14705.5,,531.5,45.0,8704.0,11725.5,9777.0,9522.0,
146,-33.08883333,19.21878333,25-11-2015,453.0,10127.5,14011.0,1147.5,8692.0,8920.0,15734.0,,846.0,51.0,9244.5,13391.0,9642.0,10503.5,
147,-31.396,29.2651,01-06-2015,527.0,10388.5,9667.0,3.0,8680.0,9246.5,8995.0,,1027.0,102.5,8418.0,8744.0,9814.5,9986.5,
148,-25.127778,27.628889,02-06-2015,420.0,9865.0,13131.0,577.5,8927.0,9014.0,16624.0,44584.5,782.0,42.0,9115.5,15340.0,9724.0,10903.5,9.0
149,-25.20639,27.558,02-06-2015,422.0,9877.5,13934.5,365.0,8922.5,8888.0,13500.0,42725.0,785.5,54.0,8297.0,11335.0,9619.0,10142.5,9.0
150,-32.502778,19.535833,13-06-2011,-9999.0,,,-9999.0,-9999.0,,,,-9999.0,-9999.0,-9999.0,,-9999.0,,-9999.0
151,-24.69514,27.40906,02-06-2015,429.0,9830.0,13194.0,373.5,8915.0,8961.0,11984.5,43526.0,799.0,117.5,8576.5,10542.0,9581.0,10106.0,11.0
152,-27.935,26.126667,02-06-2015,459.5,10044.0,12789.5,380.0,8752.5,9399.0,15402.0,42928.5,861.0,77.5,8297.0,13132.0,9623.0,10817.5,9.0
153,-28.1175,26.719444,02-06-2015,461.0,9849.0,12225.0,662.5,8738.5,9200.5,13873.5,42329.0,864.0,54.0,8129.5,11866.0,9699.0,10418.0,9.0
154,-27.398611,26.614722,02-06-2015,487.0,9474.0,14464.0,35.5,8682.0,8715.0,12507.5,42269.5,918.0,62.0,8166.5,10271.5,9794.0,9697.0,9.0
155,-30.160091,27.40124,02-06-2015,370.0,9932.5,13839.0,726.0,8992.0,8960.5,14713.5,,678.0,124.0,8037.5,12103.5,9698.0,10819.5,
156,-30.336111,27.359444,02-06-2015,373.0,9651.0,9257.5,2136.0,8986.0,8595.5,9015.5,,684.0,20.5,7575.0,8739.0,9831.0,9826.5,
157,-31.104278,29.399722,02-06-2015,463.0,8871.0,12847.5,172.0,8842.5,8221.5,11657.5,,886.5,26.0,8179.5,9971.5,9749.0,9090.0,
158,-32.502778,19.535833,27-07-2012,296.0,10639.0,13753.5,2615.0,9167.5,9368.5,14921.0,41576.5,517.0,54.0,7720.5,12916.5,9520.0,11753.5,8.0
159,-34.031944,22.053333,02-06-2015,807.0,12727.0,18337.0,,7715.0,12169.0,18091.0,36654.0,1648.0,81.0,6362.0,15707.0,9652.0,13526.0,43.0
